Full name,abv
Bachelor of Technology,BTech
Diploma in Languages,DipLang
Faculty of Business ,BBus
Bachelor of Business,BCom
Bachelor of Commerce,BComGlobal
Bachelor of Commerce Global,BCom
Bachelor of Commerce - TAFE Advanced Diploma of Events Management,BCom
Bachelor of Commerce - TAFE Advanced Diploma of Hospitality Management,BCom
Bachelor of Commerce - TAFE Advanced Diploma of Tourism Management,BCom
Bachelor of Commerce ,BEconFin
Bachelor of Economics and Finance,BBusInfoSys
Faculty of Engineering and Information Sciences ,BBusInfoSys
Bachelor of Business Information Systems,BCompSc
Bachelor of Business Information Systems ,BCompSc
Bachelor of Computer Science,BIT
Bachelor of Computer Science ,BIT
Bachelor of Information Technology,BITInt
Bachelor of Information Technology ,BMath
Bachelor of Information Technology International,BMathAdv
Bachelor of Mathematics,BMedRadPhys
Bachelor of Mathematics Advanced,BMedMath
Bachelor of Medical and Radiation Physics,BMedMath
Bachelor of Medical Mathematics,BSc
Bachelor of Medical Mathematics ,BSc
Bachelor of Science ,BA
Bachelor of Science ,BA
"Faculty of Law, Humanities and the Arts",BCMS
Bachelor of Arts,BCMS
Bachelor of Arts ,BCA
Bachelor of Communication and Media,BCA
Bachelor of Communication and Media ,BIntSt
Bachelor of Creative Arts,BIntSt
Bachelor of Creative Arts ,BJrnl
Bachelor of International Studies,BPerf
Bachelor of International Studies ,BPerf
Bachelor of Journalism,BPPE
Bachelor of Performance,BPPE
Bachelor of Performance ,BExSc
"Bachelor of Politics, Philosophy and Economics",BHlthSc
"Bachelor of Politics, Philosophy and Economics ",BMarSc
"Faculty of Science, Medicine and Health",BMedHlthSc
Bachelor of Exercise Science,BNurse
Bachelor of Health Science ,BNurse
Bachelor of Marine Science,BNurse
Bachelor of Medical and Health Sciences,BNutrSc
Bachelor of Nursing,BPreMedScHlth
Bachelor of Nursing ,BSc
Bachelor of Nursing ,BA
Bachelor of Nutrition Science,BNutrSc
"Bachelor of Pre-Medicine, Science and Health",BGeog
Bachelor of Science,BPsycSc
Faculty of Social Sciences,BPubHlth
Bachelor of Arts ,BPubHlth
Bachelor of Education Studies,BPubHlthNutr
Bachelor of Geography,BSc
Bachelor of Psychological Science,BSc
Bachelor of Public Health,BSocSc
Bachelor of Public Health ,BSocSc
Bachelor of Public Health Nutrition,BSocSc
Bachelor of Science ,BSusCommunities
Bachelor of Science, LLB
Bachelor of Social Science, BExScRehab
Bachelor of Social Science , BNurseAdv
Bachelor of Social Science , BEdEarlyYears
Bachelor of Sustainable Communities, BEdEarlyYears
"Faculty of Law, Humanities and the Arts", BHlthPhyEd
Bachelor of Laws , BHlthPhyEd
"Faculty of Science, Medicine and Health", BMathEd
Bachelor of Exercise Science & Rehabilitation, BMathEd
Bachelor of Nursing Advanced, BPrimEd
Faculty of Social Sciences, BPrimEd
Bachelor of Education - The Early Years, BScEd
Bachelor of Education - The Early Years , BScEd
Bachelor of Health and Physical Education, BSocWork
Bachelor of Health and Physical Education ,BComGlobal
Bachelor of Mathematics Education,BCompScGlobal
Bachelor of Mathematics Education ,BE
Bachelor of Primary Education,BE
Bachelor of Primary Education ,BMathFin
Bachelor of Science Education,BMathFin
Bachelor of Science Education ,BMedRadPhysAdv
Bachelor of Social Work,BScAdv
Faculty of Business,LLB
Bachelor of Commerce Global ,BBioNan
Faculty of Engineering and Information Sciences,BBioNan
Bachelor of Computer Science Global ,BConsBio
Bachelor of Engineering ,BConsBio
Bachelor of Engineering  ,BEnvSc
Bachelor of Mathematics and Finance ,BEnvSc
Bachelor of Mathematics and Finance  ,BMarSc
Bachelor of Medical and Radiation Physics Advanced ,BMarSc
Bachelor of Science Advanced ,BMedHlthSc
"Faculty of Law, Humanities and the Arts",BMedBiotech
Bachelor of Laws  ,BMedBiotech
"Faculty of Science, Medicine and Health",BMedChem
Bachelor of Bionanotechnology ,BMedChem
Bachelor of Bionanotechnology  ,BNutrDiet
Bachelor of Conservation Biology ,BNutrDiet
Bachelor of Conservation Biology  ,BSc
Bachelor of Environmental Science ,BEdEarlyYears
Bachelor of Environmental Science  ,BHlthPhyEd
Bachelor of Marine Science ,BPrimEd
Bachelor of Marine Science  ,BPsyc
Bachelor of Medical and Health Sciences  ,BSc
Bachelor of Medical Biotechnology ,BCom
Bachelor of Medical Biotechnology  ,BBusInfoSys
Bachelor of Medicinal Chemistry ,BCompSc
Bachelor of Medicinal Chemistry  ,BIT
Bachelor of Nutrition and Dietetics ,BMath
Bachelor of Nutrition and Dietetics  ,BMathAdv
Bachelor of Science  ,BMedMath
Faculty of Social Sciences,BSc
Bachelor of Education  The Early Years ,BA
Bachelor of Health and Physical Education ,BCMS
Bachelor of Primary Education ,BCMS
Bachelor of Psychology ,BIntSt
Bachelor of Science  ,LLB
Faculty of Business,BPPE
Bachelor of Commerce ,BMedHlthSc
Faculty of Engineering and Information Sciences,MBBS
Bachelor of Business Information Systems ,BNurse
Bachelor of Computer Science ,BSc
Bachelor of Information Technology ,BSc
Bachelor of Mathematics ,BPsycSc
Bachelor of Mathematics Advanced ,BPubHlth
Bachelor of Medical Mathematics ,BPubHlthNutr
Bachelor of Science  ,BSocSc
"Faculty of Law, Humanities and the Arts",BSc
Bachelor of Arts ,BRes
Bachelor of Communication and Media ,BBus-BIT
Bachelor of Creative Arts ,BCompSc-BSc 
Bachelor of International Studies ,BE-BA
Bachelor of Laws ,BE-BCom
"Bachelor of Politics, Philosophy and Economics ",BE-BCompSc
"Faculty of Science, Medicine and Health",BE-BExSc
Bachelor of Medical and Health Sciences ,BE-BMath
Bachelor of Medicine Bachelor of Surgery ,BE-BSc
Bachelor of Nursing ,BE-BSc
Bachelor of Science   ,BMath-BCompSc
Bachelor of Science  ,BMath-BSc
Faculty of Social Sciences,BSc-BA
Bachelor of Psychological Science ,BA-BCom 
Bachelor of Public Health ,BA-BCMS
Bachelor of Public Health Nutrition ,BA-BCMS
Bachelor of Social Science ,BA-BEcon&Fin
Bachelor of Science ,BA-BIntSt
Graduate Research School,BA-BIntSt
Bachelor of Research,BA-LLB
Faculty of Engineering and Information Sciences,BA-LLB
Bachelor of Business  Bachelor of Information Technology,BBusInfoSys-LLB
Bachelor of Computer Science - Bachelor of Science,BCom-LLB
Bachelor of Engineering   Bachelor of Arts ,BCMS-BCom
Bachelor of Engineering   Bachelor of Commerce ,BCMS-BEcon&Fin
Bachelor of Engineering   Bachelor of Computer Science ,BCMS-BIntSt
Bachelor of Engineering   Bachelor of Exercise Science ,BCMS-BIntSt
Bachelor of Engineering   Bachelor of Mathematics ,BCMS-LLB
Bachelor of Engineering   Bachelor of Science ,BCMS-BSc
Bachelor of Engineering   Bachelor of Science,BCompSc-LLB
Bachelor of Mathematics  Bachelor of Computer Science ,BCA-BA
Bachelor of Mathematics  Bachelor of Science ,BCA-BCom
Bachelor of Science   Bachelor of Arts ,BCA-BCMS
"Faculty of Law, Humanities and the Arts",BCA-BCompSci
Bachelor of Arts  Bachelor of Commerce ,BCA-BIntSt
Bachelor of Arts  Bachelor of Communication and Media,BCA-BJrnl
Bachelor of Arts  Bachelor of Communication and Media  ,BCA-LLB
Bachelor of Arts  Bachelor of Economics and Finance ,BCA-BSc
Bachelor of Arts  Bachelor of International Studies ,BEcon&Fin-LLB
Bachelor of Arts  Bachelor of International Studies  ,BE-LLB
Bachelor of Arts  Bachelor of Laws,BIT-LLB
Bachelor of Arts   Bachelor of Laws ,BIntSt-BCom
Bachelor of Business  Bachelor of Laws ,BIntSt-BEcon&Fin
Bachelor of Commerce  Bachelor of Laws ,BIntSt-LLB
Bachelor of Communication and Media  Bachelor of Commerce ,BJrnl-BA
Bachelor of Communication and Media  Bachelor of Economics and Finance ,BJrnl-BCom
Bachelor of Communication and Media  Bachelor of International Studies ,BJrnl-BCMS
Bachelor of Communication and Media  Bachelor of International Studies  ,BJrnl-BE
Bachelor of Communication and Media  Bachelor of Laws ,BJrnl-BIntSt
Bachelor of Communication and Media  Bachelor of Science ,BJrnl-LLB
Bachelor of Computer Science  Bachelor of Laws ,BJrnl-BSc
Bachelor of Creative Arts  Bachelor of Arts ,BMath-LLB
Bachelor of Creative Arts  Bachelor of Commerce ,BPPE-LLB
Bachelor of Creative Arts  Bachelor of Communication and Media,BPsycSc-LLB
Bachelor of Creative Arts  Bachelor of Computer Science ,BSc-LLB
Bachelor of Creative Arts  Bachelor of International Studies ,BSc-BA
Bachelor of Creative Arts  Bachelor of Journalism ,BSc-BCom
Bachelor of Creative Arts  Bachelor of Laws ,BA-BCom
Bachelor of Creative Arts  Bachelor of Science ,BPsycSc-BCom
Bachelor of Economics and Finance  Bachelor of Laws ,BPsycSc-BSocSc
Bachelor of Engineering   Bachelor of Laws ,BPsyc-BCom
Bachelor of Information Technology  Bachelor of Laws ,LLB 
Bachelor of International Studies  Bachelor of Commerce ,LLB 
Bachelor of International Studies  Bachelor of Economics and Finance ,BA-LLB 
Bachelor of International Studies  Bachelor of Laws ,BCom-LLB 
Bachelor of Journalism  Bachelor of Arts ,BCM-LLB 
Bachelor of Journalism  Bachelor of Commerce ,BIntSt-LLB 
Bachelor of Journalism  Bachelor of Communication and Media,GCertAppFin
Bachelor of Journalism  Bachelor of Engineering  ,GCertBus
Bachelor of Journalism  Bachelor of International Studies ,GCertBusCoach
Bachelor of Journalism  Bachelor of Laws ,GCertHRM
Bachelor of Journalism  Bachelor of Science ,GCertInno&Entrep
Bachelor of Mathematics  Bachelor of Laws ,GCertMark
"Bachelor of Politics, Philosophy and Economics  Bachelor of Laws ",GCertProfAccy
Bachelor of Psychological Science  Bachelor of Laws ,GCertPubRel
Bachelor of Science  Bachelor of Laws,GCertComp
"Faculty of Science, Medicine and Health",GCertElecPowEng
Bachelor of Science  Bachelor of Arts ,GCertEng
Bachelor of Science  Bachelor of Commerce ,GCertEngAssetMgmt
Faculty of Social Sciences,GCertMathSt
Bachelor of Arts   Bachelor of Commerce ,GCertRollStockEng
Bachelor of Psychological Science  Bachelor of Commerce ,GCertGlobalCit
Bachelor of Psychological Science - Bachelor of Social Science,GCertLaw
Bachelor of Psychology   Bachelor of Commerce ,GCertMaritimeSt
"Faculty of Law, Humanities and the Arts",GCertBiofabrication
Bachelor of Laws  ,GCertDementiaCare
Bachelor of Laws   ,GCertErth&EnviSc
Bachelor of Arts  Bachelor of Laws  ,GCertEmergDisasterLead
Bachelor of Commerce  Bachelor of Laws  ,GCertExRehab
Bachelor of Communication and Media  Bachelor of Laws  ,GCertG&RStud
Bachelor of International Studies  Bachelor of Laws  ,GCertHLM
Faculty of Business,GCertIndHlth
Graduate Certificate in Applied Finance ,GCertIndigTrauma&RecPrac
Graduate Certificate in Business ,GCertMedEd
Graduate Certificate in Business Coaching ,GCertMedScHlthRes
Graduate Certificate in Human Resource Management ,GCertMntlHlthNurse
Graduate Certificate in Innovation and Entrepreneurship ,GCertNurse
Graduate Certificate in Marketing ,GCertNut
Graduate Certificate in Professional Accounting ,GCertPrimHlthCare
Graduate Certificate in Public Relations ,GCertRegSc
Faculty of Engineering and Information Sciences,GCertSci
Graduate Certificate in Computing,IntGCertSc
Graduate Certificate in Electrical Power Engineering ,GCertAutism
Graduate Certificate in Engineering ,GCertEdSt
Graduate Certificate in Engineering Asset Management ,GCertEdSt
Graduate Certificate in Mathematical Studies,GCertHlthProm
Graduate Certificate in Rolling Stock Engineering ,GCertHlth&PhysEd
"Faculty of Law, Humanities and the Arts",GCertPubHlth
Graduate Certificate in Global Citizenship ,GCertTertTLP
Graduate Certificate in Laws  ,GCertTESOL
Graduate Certificate in Maritime Studies ,GCertWHS
"Faculty of Science, Medicine and Health",GCertAutism
Graduate Certificate in Biofabrication,GDipBusCoach
Graduate Certificate in Dementia Care ,GDipCompSc
Graduate Certificate in Earth and Environmental Science ,GDipEng
Graduate Certificate in Emergency and Disaster Leadership ,GCertEmergDisasterLead
Graduate Certificate in Exercise Rehabilitation ,GDipMedRadPhys
Graduate Certificate in Gerontology and Rehabilitation Studies ,GDipSc
Graduate Certificate in Health Leadership and Management ,GDipArts
Graduate Certificate in Indigenous Health ,GDipExRehab
Graduate Certificate in Indigenous Trauma and Recovery Practice ,GDipMedScHlthRes
Graduate Certificate in Medical Education ,GDipMntlHlthNurse
Graduate Certificate in Medical Science and Health Research ,GDipSc
Graduate Certificate in Mental Health Nursing ,IntGDipSc
Graduate Certificate in Nursing ,GDipAdVetEd
Graduate Certificate in Nutrition , GDipEdStud
Graduate Certificate in Primary Health Care , GDipEdStud
Graduate Certificate in Regulatory Science ,GDipPsyc
Graduate Certificate in Science ,GDipTESOL
International Graduate Certificate in Science ,GDipWHS
Faculty of Social Sciences, MAppFin
Graduate Certificate in Autism , MBus
Graduate Certificate in Educational Studies  , MBA
Graduate Certificate in Educational Studies  , EMBA 
Graduate Certificate in Health Promotion , MBAAdv
Graduate Certificate in Health and Physical Education , MBusCoach
Graduate Certificate in Public Health , MProfAccy
Graduate Certificate in Tertiary Teaching and Learning Practices , MProfAccyAdv
Graduate Certificate in TESOL , MSc
Graduate Certificate in Work Health and Safety ,MCompSc
Central Administration,MElecPowEng
Graduate Certificate in Health Research,MEng
Faculty of Business ,MEng
Graduate Diploma in Business Coaching ,MEngAssetMgmt
Faculty of Engineering and Information Sciences ,MEngMgmt
Graduate Diploma in Computer Science ,MEngSc
Graduate Diploma in Engineering ,MFinMath
Graduate Diploma in Mathematical Studies,MHlthInfo
Graduate Diploma in Medical Radiation Physics ,MICTAdv
Graduate Diploma in Science ,MIT
"Faculty of Law, Humanities and the Arts ",MITMgmt
Graduate Diploma in Arts ,MITStAdv
"Faculty of Science, Medicine and Health ",MMath
Graduate Diploma in Exercise Rehabilitation ,MMedRadPhys
Graduate Diploma in Medical Science and Health Research ,MRollStockEng
Graduate Diploma in Mental Health Nursing ,MSc
Graduate Diploma in Science,MStat
International Graduate Diploma in Science ,MFishPol
Faculty of Social Sciences ,MIntlSt
Graduate Diploma in Adult and Vocational Education ,MIntStAdv
Graduate Diploma in Educational Studies,LLM
Graduate Diploma in Education Studies,MMaritimePol
Graduate Diploma in Psychology ,MMaritimeStud
Graduate Diploma in TESOL ,MMediaComm
Graduate Diploma in Work Health and Safety ,MD
Faculty of Business,IntMSc
Master of Applied Finance ,MClinExPhysi
Master of Business ,MHLM
Master of Business Administration ,MIndHlth
Master of Business Administration  ,MNurse
Master of Business Administration Advanced ,MNurse
Master of Business Coaching ,MNursInt
Master of Professional Accounting ,MNutr&Diet
Master of Professional Accounting Advanced ,MSc
Master of Science ,MScMgmt
Faculty of Engineering and Information Sciences,MSc
Master of Computer Science ,MSc
Master of Electrical Power Engineering ,MAut
