,Extracted Colleges,DT Colleges
0,['Adithya Institute of Technology -  Tamil Nadu'],['Adithya Institute of Technology']
1,"['Osmania University', 'Osmania University']","['\nOsmania University\n', '\nOsmania University\n']"
2,"['Manipal University', 'MIT, Manipal University']","['Manipal University\n', 'Manipal University\n']"
3,"['Birla Institute Of Technology -  Pilani, Rajasthan', 'University College Of Engineering, University Of Kerala', 'University College Of Engineering, University Of Kerala']","['University College Of Engineering', 'Birla Institute Of Technology ']"
4,"['Rashtriya Military School Bangalore -  Bengaluru, Karnataka', 'Rashtriya Military School Bangalore -  Bengaluru, Karnataka']","['Rashtriya Military School Bangalore', 'Rashtriya Military School Bangalore', 'Army institute of technology ']"
5,"['1 Android Based Saraswati College Of Android Completed', '2 An innovative Saraswati College Of Compilation Completed', '3 Simple Website Saraswati College Of Website related to Completed', 'Saraswati College Of Engineering, Kharghar -  Mumbai, Maharashtra', 'Acharya College Chembur -  Mumbai, Maharashtra']","['Acharya College Chembur', 'Saraswati College Of Engineering']"
6,"['Degree College -  Machilipatnam, Andhra Pradesh', 'AG&SGS Intermediate College']","['AG&SGS Intermediate College', 'Degree College']"
7,"['Biju Patnaik University -  Rayagada, Orissa']",['Biju Patnaik University']
8,"['Velammal Engineering College -  Chennai, Tamil Nadu', 'Hr. Sec. School', '• Attended workshop on ""Non-Destructive Testing"" conducted at Velammal engineering College,']","['Hr. Sec. School\n', 'Tamil Nadu Board Of Education', 'Velammal Engineering College']"
9,['Narsee Monjee Institute of Management Studies'],['Narsee Monjee Institute of Management Studies']
10,"['Lovely Public Sr. Sec. School', 'Lovely Public Sr. Sec. School', 'University / Board']","['Lovely Public Sr. Sec. School', 'Lovely Public Sr. Sec. School', 'Northern India engineering college, IP UNIVERSITY DELHI']"
11,['rajasthan University'],"['rajasthan University\n', 'Compucom Insitute of Information Technology\n']"
12,"['REiume Institute of road -  Erode, Tamil Nadu']","['REiume Institute of road', 'Networking, Infosys Limited']"
13,"['Little Rock Indian School', 'School Of Information Sciences', 'Manipal Academy of Higher Education', 'Srinivas Institute of Technology -  Mangalore, Karnataka', 'Visvesvaraya Technological University', 'Vidyodaya P.U. College -  Udipi, Karnataka']","['Vidyodaya P.U. College', 'Visvesvaraya Technological University\n', 'Srinivas Institute of Technology', 'Manipal Academy of Higher Education', 'School Of Information Sciences\n', 'Little Rock Indian School\n']"
