,Skills
0,"['Project Execution, ', 'planning and implementation at all stages.  ', 'Preparation of Electrical Load Calculations and Single line diagram.  ', 'Studying and execution as per electrical designs layout.  ', 'Selections of cables, bus bars and switch gears ratings based on the load.  ', 'Basic CADD, MS – Office, Selection of Light Fixtures based on LUX level.  ']"
1,[]
2,"['and Plant Operator  \uf076', 'kid Loader Operator (Bobcact)  \uf076', 'olding Machine Operator  \uf076', 'orklift Operator (1', 'hot blast operator  \uf076', 'verhead crane operator   ']"
3,"[' Hardware troubleshooting. ', ' Network troubleshooting. ', ' Programming - Java, C++, Android, .Net Framework, HTML. ', ' MS Office – Word, PowerPoint, Excel. ', ' Tally ERP 9. ', ' Web Design Adobe Creative suite - Photoshop, Dream Viewer. ', ' OPERATING SYSTEM WINDOWS FAMILY – XP TO WINDOWS 10 ']"
4,[]
5,"['MS office\uf020  \uf0b7  Basics of Auto-CAD \uf020  \uf0b7   INTERNET Surfing. \uf020  \uf0b7  Knowledge of Computer \uf020', 'blity to operate Measuring Instruments,  ', 'nowledge of Automobile parts &their functions as well as conventional machining   ', 'ardness &tensile testing. \uf020 ', 'nowledge  of  ISO  Documentation.  Gap  Analysis,Lean  manufacturing  (5S,Kaizen     ,&7 QC tools ,Autonoumos maintenance etc.)\uf020  ']"
6,"[' PLC  (Programmable  Logic  Controllers)   &  DCS  (Distributed  Control  System)   -    Programming   languages   such   as  LD  (Ladder  Diagram)   &  FBD  (Functional  Block ', ' Hands on Practical exposure  in brands as  Siemens,  AB  (Allen Bradley),  ABB  (Asea    Brown Boveri),  Schneider, GE-Fanuc, Keyence, Omron, Messung,  Mitsubishi,  and    \uf0d8 SCADA  (Supervisory  Control   &Data  Acquisition)   –   Screen   designing,   PC   &   PLC    Diagram).    Delta.    interface. ', ' HMI (Human Machine Interface) - Screen designing, PLC interface, DCS interface.    \uf0d8 PAC  (Programmable  Automation  Controller) – X, Y axis Robotic Control using Servo    motors & drives. ', ' VFD (Variable Frequency Drive) – Commissioning and Troubleshooting. ', 'Pneumatics & Field Instruments  (Control Valve, Sensors, Level Transmitters, Flow    Transmitters, Temperature Transmitters, Pressure Switches).  ']"
7,"[' basic knowledge of every     part of pc,    max    Flash, Corel drew, Photoshop, 3d ']"
8,"[' Application : MS Office  (word, excel, PowerPoint) ', ' Responsible for installation cable tray, rack, panel and its supports electrical equipments     like switchgear and control panels, distribution transformer, motors etc. ', ' Operates a variety of electrical testing equipment in locating and determining types of     electrical malfunctions.    \uf0d8 Repairs and maintains high voltage systems. ', ' Calibration, Erection & testing of field Instruments like transmitters, switches, RTD &   thermocouple for process parameter such as pressure, temperature, flow &level. ', ' Preparation of Calibration & Installation protocols. ', ' Testing of Instrumentation Control signals from field instruments to DCS. ', 'Working Knowledge in Instrument Hook-up diagram’s& PID’S (', 'Cabling, Cable laying, Termination, interpanel wiring and loop checking.  ', 'Hook-up preparation, Hook-up installation in LIE and LIR.  ', 'Installation of Impulse Piping for their respective Transmitter.  ']"
9,"['Software  Operating Systems    :  :    Basic knowledge of AutoCAD-2D  Windows-8,                                           :  Application – MS Office  ']"
